symptom,disease,doctor
"Nausea, Dehydration, Body aches, Feverish, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Fever",Norovirus Infection,General Physician
"Fever, Diarrhea, Nausea, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Irritability, Swollen lymph nodes, Cough, Vomiting, Abdominal pain, Body aches, Rashes, Feverish",Roseola,General Physician
"Fever, Diarrhea, Bloody stools, Stomach cramps, Fatigue, Rashes, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Diarrhea, Headache, Fatigue, Loss of appetite, Muscle aches, Feverish, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Low-grade fever, Muscle aches, Headache, Loss of appetite, Chills, Body aches",Norovirus Infection,General Physician
"Vomiting, Low-grade fever, Nausea, Fatigue, Body aches, General discomfort, Fever",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Vomiting, Body aches, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Dehydration, Sweating, Body aches, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"Diarrhea, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"Diarrhea, Low-grade fever, Muscle aches, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"High fever, Runny nose, Irritability, Headache, Red eyes, Diarrhea, Abdominal pain, Rashes, Chills, Feverish",Roseola,General Physician
"Sores in mouth, Sore throat, Red spots, Blisters, Fatigue, Sore muscles, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Runny nose, Rash, Sore throat, Cough, Red eyes, Diarrhea, Chills",Roseola,General Physician
"Diarrhea, Nausea, Headache, Fatigue, Abdominal pain, Dehydration, Sweating, Rashes, Fever",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Nausea, Vomiting, Headache, Dehydration, Muscle aches, Feverish, Rashes, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Stomach cramps, Nausea, Fatigue, Abdominal pain, Sweating, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"High fever, Runny nose, Rash, Sore throat, Diarrhea, Body aches, Rashes, Feverish",Roseola,General Physician
"Diarrhea, Muscle aches, Nausea, Headache, Chills, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Fatigue, Loss of appetite, Dehydration, Rashes, Irritability",Norovirus Infection,General Physician
"High fever, Fatigue, Headache, Cough, Diarrhea, Body aches, Rashes, Chills",Roseola,General Physician
"Rash, Low fever, Cough, Sore throat, Runny nose, Headache, Generally feeling unwell (malaise), Swollen lymph nodes",Rubella,General Physician
"Abdominal pain or cramps, Vomiting, Bloody stools, Fatigue, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Rash, Fatigue, Swollen lymph nodes, Cough, Diarrhea, Vomiting, Rashes, Chills",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Abdominal pain, Chills, Sweating, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Nausea, Bloody stools, Stomach cramps, Loss of appetite, Muscle aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Fatigue, Loss of appetite",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Rash, Swollen lymph nodes, Sore throat, Vomiting, Loss of appetite, Rashes, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Muscle aches, Headache, Dehydration, Body aches, Rashes, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Nausea, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Irritability, Swollen lymph nodes, Cough, Vomiting, Loss of appetite, Body aches",Roseola,General Physician
"Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Nausea, Headache, Fatigue, Abdominal pain, Chills, Sweating, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, Body aches, Fever",Norovirus Infection,General Physician
"Vomiting, Muscle aches, Nausea, Headache, Body aches, General discomfort, Fever",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Body aches, General discomfort, Fever",Norovirus Infection,General Physician
"Abdominal pain or cramps, Vomiting, Bloody stools, Fatigue, Dehydration, Muscle aches, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Muscle aches, Nausea, Fatigue, Abdominal pain, Body aches, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"High fever, Irritability, Sore throat, Cough, Loss of appetite, Abdominal pain, Chills, Feverish",Roseola,General Physician
"Runny nose, Fatigue, Swollen lymph nodes, Cough, Red eyes, Vomiting, Body aches, Chills",Roseola,General Physician
"Runny nose, Rash, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Loss of appetite, Abdominal pain",Roseola,General Physician
"Redness in the white of the eye (sclera) or inner eyelid, Sensation of a foreign object in the eye, Dry or watery eyes (epiphora), Burning sensation in the eyes, Blurred vision (intermittent)",Conjunctivitis (Pink Eye),General Physician
"Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Feverish, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Low-grade fever, Abdominal pain, Dehydration, Sweating, General discomfort, Fever",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Stomach cramps, Headache, Dehydration, Muscle aches, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Nausea, Bloody stools, Stomach cramps, Fatigue, Dehydration, Body aches, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Muscle aches, Body aches, Feverish, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Loss of appetite, Irritability, Cough, Sore muscles, General discomfort, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Sweating, Body aches, Irritability",Norovirus Infection,General Physician
"Fever, Fatigue, Dehydration, Body aches, Rashes, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Sweating, Body aches, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Vomiting, Body aches, Feverish, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Swollen lymph nodes, Sore throat, Loss of appetite, Abdominal pain, Rashes, Chills, Feverish",Roseola,General Physician
"Sores in mouth, Rash on hands and feet, Irritability, Mouth sores, Red spots, Blisters, Fatigue, Cough, Sore muscles, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Vomiting, Low-grade fever, Nausea, Fatigue, Abdominal pain, Sweating, General discomfort, Irritability",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Chills, Sweating, Rashes, Irritability",Norovirus Infection,General Physician
"Diarrhea, Muscle aches, Nausea, Loss of appetite, Dehydration, Sweating, Body aches, Rashes",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Muscle aches, Fatigue, Abdominal pain, Dehydration, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Loss of appetite, Muscle aches, Feverish, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Headache, Diarrhea, Loss of appetite, Body aches, Rashes",Roseola,General Physician
"Low-grade fever, Nausea, Abdominal pain, General discomfort, Irritability",Norovirus Infection,General Physician
"Runny nose, Rash, Fatigue, Swollen lymph nodes, Headache, Red eyes, Vomiting, Feverish",Roseola,General Physician
"Runny nose, Rash, Swollen lymph nodes, Sore throat, Headache, Red eyes, Vomiting, Loss of appetite, Body aches, Rashes, Chills, Feverish",Roseola,General Physician
"High fever, Rash, Irritability, Loss of appetite, Body aches, Chills",Roseola,General Physician
"Rash, Irritability, Headache, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills",Roseola,General Physician
"High fever, Runny nose, Fatigue, Swollen lymph nodes, Red eyes, Diarrhea, Vomiting, Body aches, Feverish",Roseola,General Physician
"Vomiting, Headache, Fatigue, Abdominal pain, Body aches, General discomfort",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Dehydration, Chills, Rashes, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Sore throat, Pale skin around lips, Sore and red throat with patches, Difficulty swallowing, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain, Headache and body aches",Scarlet Fever,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Fatigue, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Irritability, Cough, Diarrhea, Loss of appetite, Abdominal pain, Feverish",Roseola,General Physician
"Fever, Diarrhea, Nausea, Vomiting, Headache, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Muscle aches, Abdominal pain, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"Diarrhea, Nausea, Vomiting, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Rash, Irritability, Swollen lymph nodes, Sore throat, Cough, Diarrhea, Abdominal pain, Body aches, Rashes, Feverish",Roseola,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Headache, Fatigue, Abdominal pain, Dehydration, Sweating, General discomfort, Fever",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Chills, Sweating, Rashes, Fever",Norovirus Infection,General Physician
"Runny nose, Rash, Sore throat, Cough, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Rashes, Feverish",Roseola,General Physician
"Diarrhea, Low-grade fever, Fatigue, Abdominal pain, Dehydration, Sweating, Rashes, Irritability",Norovirus Infection,General Physician
"Sneezing, Watering eyes, Low-grade fever, Mild hacking cough, Chills, Watery discharge from nose that thickens and turns yellow or green",Common Cold,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Abdominal pain, Dehydration, Sweating, Body aches, Rashes, General discomfort",Norovirus Infection,General Physician
"Sore throat, Headache, Cough, Red eyes, Loss of appetite, Chills",Roseola,General Physician
"Fever, Diarrhea, Nausea, Bloody stools, Stomach cramps, Loss of appetite, Feverish, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Vomiting, Loss of appetite, Muscle aches, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Sore throat, Mouth sores, Red spots, Blisters, Cough, Sore muscles, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Vomiting, Low-grade fever, Nausea, Fatigue, Abdominal pain, Dehydration, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Fatigue, Loss of appetite, Dehydration, Body aches",Norovirus Infection,General Physician
"Rash, Swollen lymph nodes, Red eyes, Diarrhea, Vomiting, Abdominal pain, Body aches, Chills",Roseola,General Physician
"Fever, Diarrhea, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Fatigue, Sore throat, Headache, Red eyes, Vomiting, Loss of appetite, Body aches, Chills",Roseola,General Physician
"Sores in mouth, Rash on hands and feet, Sore throat, Mouth sores, Cough, Headache, General discomfort, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Stomach cramps, Low-grade fever, Nausea, Abdominal pain, Loss of appetite, Sweating, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Diarrhea, Vomiting, Headache, Dehydration, Muscle aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Irritability, Swollen lymph nodes, Sore throat, Headache, Red eyes, Vomiting, Body aches, Rashes, Chills",Roseola,General Physician
"Fever, Diarrhea, Vomiting, Stomach cramps, Headache, Dehydration, Muscle aches, Body aches, Feverish, Rashes, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Irritability, Swollen lymph nodes, Cough, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Rashes, Chills, Feverish",Roseola,General Physician
"Diarrhea, Stomach cramps, Nausea, Headache, Dehydration, Chills, Fever, Irritability",Norovirus Infection,General Physician
"Sores in mouth, Rash on hands and feet, Loss of appetite, Sore throat, Mouth sores, Fatigue, Cough, General discomfort","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Headache, Abdominal pain, Sweating, Irritability",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Fatigue, Abdominal pain, Loss of appetite, Chills, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Fever, Sores in mouth, Loss of appetite, Irritability, Mouth sores, Red spots, Blisters, Fatigue, Cough, Headache, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Vomiting, Stomach cramps, Muscle aches, Headache, Abdominal pain, Loss of appetite, Chills, Irritability",Norovirus Infection,General Physician
"Nausea, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Body aches, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Body aches, Chills",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Abdominal pain, Sweating, General discomfort, Fever",Norovirus Infection,General Physician
"Vomiting, Low-grade fever, Abdominal pain, Loss of appetite, Dehydration, Sweating, Irritability",Norovirus Infection,General Physician
"Stomach cramps, Low-grade fever, Headache, Fatigue, Abdominal pain, Loss of appetite, Body aches, Rashes, General discomfort",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Feverish, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Irritability, Fatigue, Sore throat, Headache, Diarrhea, Loss of appetite, Rashes, Chills, Feverish",Roseola,General Physician
"Runny nose, Irritability, Fatigue, Swollen lymph nodes, Cough, Diarrhea, Vomiting, Abdominal pain, Body aches, Rashes",Roseola,General Physician
"Headache, Dehydration, Loss of appetite, Feverish, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Diarrhea, Vomiting, Loss of appetite, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Low-grade fever, Fatigue, Abdominal pain, Dehydration, Body aches, Fever, Irritability",Norovirus Infection,General Physician
"Sores in mouth, Rash on hands and feet, Irritability, Red spots, Blisters, Fatigue, Headache, Mild fever, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Sore throat, Mouth sores, Headache, Difficulty swallowing","Hand, Foot, and Mouth Disease",General Physician
"Abdominal pain or cramps, Stomach cramps, Headache, Loss of appetite, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Irritability, Fatigue, Sore throat, Cough, Vomiting, Loss of appetite, Body aches, Rashes, Feverish",Roseola,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Headache, Dehydration, Loss of appetite, Muscle aches, Feverish, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Headache, Pain while chewing or swallowing, Fever, Muscle aches, Tiredness, Loss of appetite, Fever, Muscle aches",Mumps,General Physician
"Diarrhea, Stomach cramps, Headache, Fatigue, Chills, Body aches, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Dehydration, Muscle aches, Body aches, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Irritability, Fatigue, Headache, Chills",Roseola,General Physician
"Vomiting, Low-grade fever, Fatigue, Abdominal pain, Loss of appetite, Chills, Sweating, General discomfort, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Nausea, Vomiting, Stomach cramps, Fatigue, Body aches, Rashes, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Low-grade fever, Fatigue, Abdominal pain, Chills, Sweating, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Vomiting, Low-grade fever, Nausea, Headache, Dehydration, Irritability",Norovirus Infection,General Physician
"Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Sweating, Body aches, Rashes",Norovirus Infection,General Physician
"Diarrhea, Nausea, Headache, Fatigue, Muscle aches, Body aches, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Body aches, Chills, Feverish",Roseola,General Physician
"Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Fatigue, Loss of appetite, Body aches, Feverish",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Vomiting, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Rashes, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Vomiting, Fatigue, Sweating, Body aches, Fever, Irritability",Norovirus Infection,General Physician
"Diarrhea, Stomach cramps, Low-grade fever, Headache, Loss of appetite, Sweating, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Bloody stools, Fatigue, Muscle aches, Body aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Vomiting, Low-grade fever, Nausea, Fatigue, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Irritability",Norovirus Infection,General Physician
"Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Vomiting, Rashes",Roseola,General Physician
"Fever, Diarrhea, Vomiting, Bloody stools, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Cough, Red eyes, Abdominal pain, Feverish",Roseola,General Physician
"Low-grade fever, Fatigue, Loss of appetite, Chills, Rashes, General discomfort, Fever",Norovirus Infection,General Physician
"High fever, Runny nose, Irritability, Swollen lymph nodes, Headache, Vomiting, Body aches, Rashes, Feverish",Roseola,General Physician
"Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Dehydration, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Nausea, Vomiting, Stomach cramps, Headache, Loss of appetite, Body aches, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Bloody stools, Stomach cramps, Headache, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Nausea, Stomach cramps, Headache, Loss of appetite, Feverish, General discomfort",Shigellosis (Bacillary Dysentery),General Physician
"High fever, Runny nose, Rash, Irritability, Cough, Red eyes, Abdominal pain, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Fever",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Nausea, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Strawberry tongue, Pale skin around lips, Fever (100.4�F / 38.0�C or higher), Difficulty swallowing, Nausea or vomiting",Scarlet Fever,General Physician
"Runny nose, Irritability, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes, Chills",Roseola,General Physician
"Diarrhea, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Abdominal pain or cramps, Nausea, Vomiting, Dehydration, Loss of appetite, Muscle aches, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Stomach cramps, Nausea, Fatigue, Sweating, Body aches, Fever, Irritability",Norovirus Infection,General Physician
"Stuffy, runny nose, Sneezing, Watering eyes, Sore throat, Chills, Watery discharge from nose that thickens and turns yellow or green",Common Cold,General Physician
"High fever, Rash, Swollen lymph nodes, Headache, Cough, Red eyes, Loss of appetite, Abdominal pain, Rashes, Chills",Roseola,General Physician
"Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Dehydration, Sweating, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"High fever, Runny nose, Irritability, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Feverish",Roseola,General Physician
"High fever, Rash, Fatigue, Sore throat, Headache, Cough, Red eyes, Loss of appetite, Body aches, Rashes, Chills",Roseola,General Physician
"Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Body aches, Feverish, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Sores in mouth, Irritability, Sore throat, Blisters, Fatigue, Cough, Sore muscles, General discomfort","Hand, Foot, and Mouth Disease",General Physician
"Stomach cramps, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Sweating, Body aches, Fever",Norovirus Infection,General Physician
"High fever, Irritability, Fatigue, Swollen lymph nodes, Red eyes, Diarrhea, Loss of appetite, Rashes, Chills, Feverish",Roseola,General Physician
"Rash on hands and feet, Loss of appetite, Red spots, Fatigue, Sore muscles, Headache, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Diarrhea, Vomiting, Loss of appetite",Roseola,General Physician
"Diarrhea, Stomach cramps, Nausea, Fatigue, Chills, Body aches, Rashes, Fever",Norovirus Infection,General Physician
"Runny nose, Rash, Irritability, Fatigue, Sore throat, Cough, Red eyes, Diarrhea, Loss of appetite, Rashes",Roseola,General Physician
"High fever, Runny nose, Fatigue, Vomiting, Rashes, Chills, Feverish",Roseola,General Physician
"Runny nose, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Body aches, Rashes, Feverish",Roseola,General Physician
"Fever, Nausea, Vomiting, Bloody stools, Headache, Fatigue, Loss of appetite, Body aches, Rashes, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Rash, Irritability, Headache, Cough, Diarrhea, Loss of appetite, Rashes, Chills",Roseola,General Physician
"High fever, Rash, Irritability, Swollen lymph nodes, Headache, Red eyes, Vomiting, Loss of appetite, Body aches, Chills, Feverish",Roseola,General Physician
"Runny nose, Rash, Irritability, Fatigue, Sore throat, Cough, Red eyes, Diarrhea, Loss of appetite, Body aches, Rashes, Chills",Roseola,General Physician
"High fever, Rash, Cough, Red eyes, Vomiting, Loss of appetite, Abdominal pain",Roseola,General Physician
"High fever, Runny nose, Rash, Sore throat, Abdominal pain, Body aches, Chills",Roseola,General Physician
"Diarrhea, Low-grade fever, Nausea, Headache, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, Irritability",Norovirus Infection,General Physician
"Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Muscle aches, Feverish, Rashes, General discomfort, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Headache, Swollen, painful salivary glands, Pain while chewing or swallowing, Fever, Tiredness, Loss of appetite, Headache, Muscle aches, Tiredness, Loss of appetite",Mumps,General Physician
"Sore throat, Red lines in body folds, Red rash on the body, Pale skin around lips, Difficulty swallowing, Tender, enlarged neck glands, Nausea or vomiting, Headache and body aches",Scarlet Fever,General Physician
"Runny nose, Rash, Irritability, Swollen lymph nodes, Sore throat, Cough, Vomiting, Loss of appetite, Feverish",Roseola,General Physician
"Diarrhea, Stomach cramps, Muscle aches, Fatigue, Loss of appetite, Chills, Irritability",Norovirus Infection,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Fatigue, Loss of appetite, Body aches, Rashes",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Rash, Irritability, Fatigue, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes, Chills, Feverish",Roseola,General Physician
"Fever, Abdominal pain or cramps, Diarrhea, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Rashes, Chills",Shigellosis (Bacillary Dysentery),General Physician
"Diarrhea, Fatigue, Loss of appetite, Muscle aches, General discomfort, Chills, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Runny nose, Irritability, Swollen lymph nodes, Sore throat, Cough, Red eyes, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish",Roseola,General Physician
"Diarrhea, Vomiting, Nausea, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Fever, Irritability",Norovirus Infection,General Physician
"Loss of appetite, Irritability, Sore throat, Red spots, Blisters, Fatigue, Headache","Hand, Foot, and Mouth Disease",General Physician
"Runny nose, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Feverish",Roseola,General Physician
"Fever, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Body aches, Feverish, General discomfort, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Rash, Fatigue, Swollen lymph nodes, Sore throat, Vomiting, Body aches",Roseola,General Physician
"Diarrhea, Nausea, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Body aches, Rashes, Joint pain",Shigellosis (Bacillary Dysentery),General Physician
"Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Mouth sores, Fatigue, Sore muscles, Mild fever","Hand, Foot, and Mouth Disease",General Physician
"Diarrhea, Vomiting, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, Fever, Irritability",Norovirus Infection,General Physician
"Nausea, Stomach cramps, Headache, Fatigue, Muscle aches, Feverish, Chills",Shigellosis (Bacillary Dysentery),General Physician
