disease,symptom
Hepatitis D," joint_pain,  vomiting,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Hepatitis D," joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Hepatitis D," joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  abdominal_pain,  yellowing_of_eyes"
Hepatitis D," joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  yellowing_of_eyes"
Hepatitis D," joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain"
Hepatitis E," joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  vomiting,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  vomiting,  fatigue,  high_fever,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Hepatitis E," joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding"
Alcoholic hepatitis," vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload"
Alcoholic hepatitis," vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload"
Alcoholic hepatitis," yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload"
Alcoholic hepatitis," vomiting,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload"
Alcoholic hepatitis," vomiting,  yellowish_skin,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload"
Alcoholic hepatitis," vomiting,  yellowish_skin,  abdominal_pain,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload"
Alcoholic hepatitis," vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  history_of_alcohol_consumption,  fluid_overload"
Alcoholic hepatitis," vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  fluid_overload"
Alcoholic hepatitis," vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption"
Alcoholic hepatitis," vomiting,  yellowish_skin,  abdominal_pain,  swelling_of_stomach,  distention_of_abdomen,  history_of_alcohol_consumption,  fluid_overload"
Tuberculosis," chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  vomiting,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  vomiting,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  vomiting,  fatigue,  weight_loss,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  vomiting,  fatigue,  weight_loss,  cough,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Tuberculosis," chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum"
Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  chills,  cough,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  chills,  fatigue,  high_fever,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  headache,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain"
Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  fatigue,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  fatigue,  cough,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  fatigue,  cough,  high_fever,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," constipation,  pain_in_anal_region,  bloody_stool,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  bloody_stool,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus"
Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus"
Heart attack," vomiting,  breathlessness,  sweating,  chest_pain"
Heart attack," vomiting,  breathlessness,  sweating,  chest_pain"
Heart attack," breathlessness,  sweating,  chest_pain"
Heart attack," vomiting,  sweating,  chest_pain"
Heart attack," vomiting,  breathlessness,  chest_pain"
Heart attack," vomiting,  breathlessness,  sweating"
Heart attack," vomiting,  breathlessness,  sweating,  chest_pain"
Heart attack," breathlessness,  sweating,  chest_pain"
Heart attack," vomiting,  sweating,  chest_pain"
Heart attack," vomiting,  breathlessness,  chest_pain"
Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf"
Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf"
Varicose veins," cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf"
Varicose veins," fatigue,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf"
Varicose veins," fatigue,  cramps,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf"
Varicose veins," fatigue,  cramps,  bruising,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf"
Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_blood_vessels,  prominent_veins_on_calf"
Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf"
Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels"
Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf"
Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," fatigue,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," fatigue,  weight_gain,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation"
Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  muscle_weakness,  irritability,  abnormal_menstruation"
Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  fatigue,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  fatigue,  anxiety,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations"
Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking"
Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking"
Osteoarthristis," neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking"
Osteoarthristis," joint_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking"
Osteoarthristis," joint_pain,  neck_pain,  hip_joint_pain,  swelling_joints,  painful_walking"
Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  swelling_joints,  painful_walking"
Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  painful_walking"
Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints"
Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking"
Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking"
Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking"
Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking"
Arthritis," stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking"
Arthritis," muscle_weakness,  swelling_joints,  movement_stiffness,  painful_walking"
Arthritis," muscle_weakness,  stiff_neck,  movement_stiffness,  painful_walking"
Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  painful_walking"
Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking"
Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness"
Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking"
Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  spinning_movements,  loss_of_balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  loss_of_balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  loss_of_balance,  unsteadiness"
Acne," skin_rash,  pus_filled_pimples,  blackheads,  scurring"
Acne," skin_rash,  pus_filled_pimples,  blackheads,  scurring"
Acne," pus_filled_pimples,  blackheads,  scurring"
Acne," skin_rash,  blackheads,  scurring"
Acne," skin_rash,  pus_filled_pimples,  scurring"
Acne," skin_rash,  pus_filled_pimples,  blackheads"
Acne," skin_rash,  pus_filled_pimples,  blackheads,  scurring"
Acne," skin_rash,  pus_filled_pimples,  blackheads"
Acne," skin_rash,  pus_filled_pimples,  scurring"
Acne," skin_rash,  blackheads,  scurring"
Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine"
Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine"
Urinary tract infection," bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine"
Urinary tract infection," burning_micturition,  foul_smell_of urine,  continuous_feel_of_urine"
Urinary tract infection," burning_micturition,  bladder_discomfort,  continuous_feel_of_urine"
Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine"
Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine"
Urinary tract infection," burning_micturition,  bladder_discomfort,  continuous_feel_of_urine"
Urinary tract infection," bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine"
Urinary tract infection," burning_micturition,  bladder_discomfort,  continuous_feel_of_urine"
Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails"
Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails"
Psoriasis," joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails"
Psoriasis," skin_rash,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails"
Psoriasis," skin_rash,  joint_pain,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails"
Psoriasis," skin_rash,  joint_pain,  skin_peeling,  small_dents_in_nails,  inflammatory_nails"
Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  inflammatory_nails"
Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails"
Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails"
Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails"
Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze"
Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze"
Impetigo," high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze"
Impetigo," skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze"
Impetigo," skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze"
Impetigo," skin_rash,  high_fever,  red_sore_around_nose,  yellow_crust_ooze"
Impetigo," skin_rash,  high_fever,  blister,  yellow_crust_ooze"
Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose"
Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze"
Impetigo," skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze"
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions"
Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  dischromic _patches"
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions"
Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches"
Allergy," continuous_sneezing,  shivering,  chills,  watering_from_eyes"
Allergy," shivering,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  chills"
Allergy," shivering,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  chills,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  watering_from_eyes"
Allergy," continuous_sneezing,  shivering,  chills"
Allergy," continuous_sneezing,  shivering,  chills,  watering_from_eyes"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough"
GERD," acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  vomiting,  cough,  chest_pain"
GERD," stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain"
Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis," vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
Chronic cholestasis,"itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes"
